"","Encounter1","Encounter2","Encounter3","V4"
"indSO1.3",1,1,1,1
"indSO2.3",1,0,1,0
"indSO3.3",1,0,0,0
"indSO4.3",0,1,0,0
"indSO5.3",0,1,0,0
"indSO6.3",0,1,0,0
"indSO7.3",0,0,1,1
"indSO8.3",0,0,0,1
"indSO9.3",1,0,1,0
"indSO10.3",1,0,0,0
"indSO11.3",0,1,0,0
"indSO12.3",0,0,1,0
"indSO13.3",0,0,0,1
"indSO14.3",1,1,0,0
"indSO15.3",1,0,0,0
"indSO16.3",0,1,1,0
"indSO17.3",0,1,0,1
"indSO18.3",0,1,0,0
"indSO19.3",0,0,0,1
"indSO20.3",1,0,0,0
"indSO21.3",1,0,0,0
"indSO22.3",1,0,0,0
"indSO23.3",0,1,0,0
"indSO24.3",0,1,0,0
"indSO25.3",0,1,0,0
"indSO26.3",0,0,1,1
"indSO27.3",0,0,0,1
"indSO1.2",0,1,1,0
"indSO2.2",0,1,0,1
"indSO3.2",0,0,1,0
"indSO4.2",0,0,1,0
"indSO5.2",0,0,1,0
"indSO6.2",0,0,0,1
"indSO7.2",0,0,1,1
"indSO8.2",0,0,1,0
"indSO9.2",0,0,0,1
"indSO10.2",0,1,0,0
"indSO11.2",0,0,1,0
"indSO12.2",1,1,0,1
"indSO13.2",0,1,1,0
"indSO14.2",0,1,1,1
"indSO15.2",0,1,0,1
"indSO16.2",0,0,1,1
"indSO17.2",0,0,1,0
"indSO18.2",0,0,1,0
"indSO19.2",0,0,0,1
"indSO1.1",1,1,1,0
"indSO2.1",1,0,1,1
"indSO3.1",1,0,0,1
"indSO4.1",0,0,0,1
"indSO5.1",1,0,0,1
"indSO6.1",1,0,0,1
"indSO7.1",1,0,1,1
"indSO8.1",0,1,1,1
"indSO9.1",0,0,0,1
