"","Encounter1","Encounter2","Encounter3","V4"
"indSO1.6",1,0,1,0
"indSO2.6",1,0,0,1
"indSO3.6",0,1,0,0
"indSO4.6",0,1,0,0
"indSO5.6",0,0,1,0
"indSO6.6",1,1,0,0
"indSO7.6",1,0,1,0
"indSO8.6",0,1,0,0
"indSO9.6",0,1,0,0
"indSO10.6",0,0,1,1
"indSO11.6",0,0,0,1
"indSO12.6",0,0,0,1
"indSO13.6",0,0,1,1
"indSO14.6",0,0,0,1
"indSO15.6",1,0,0,0
"indSO16.6",1,0,0,0
"indSO17.6",0,1,0,0
"indSO18.6",0,1,0,0
"indSO19.6",0,0,0,1
"indSO20.6",0,1,0,1
"indSO21.6",0,1,0,0
"indSO22.6",0,1,0,0
"indSO23.6",0,0,0,1
"indSO1.5",1,1,1,1
"indSO2.5",1,1,1,0
"indSO3.5",1,0,1,0
"indSO4.5",0,1,0,0
"indSO5.5",0,0,1,1
"indSO6.5",1,1,1,0
"indSO7.5",0,1,1,0
"indSO8.5",0,1,0,0
"indSO9.5",0,0,1,0
"indSO10.5",1,1,1,1
"indSO11.5",1,1,0,1
"indSO12.5",1,0,1,0
"indSO13.5",0,1,0,1
"indSO14.5",0,1,1,0
"indSO15.5",0,0,1,0
"indSO16.5",0,0,0,1
"indSO17.5",1,1,1,1
"indSO18.5",1,1,1,0
"indSO19.5",0,1,1,0
"indSO20.5",0,1,0,1
"indSO21.5",0,0,1,0
"indSO22.5",0,0,1,0
"indSO23.5",0,0,0,1
"indSO24.5",1,1,1,1
"indSO25.5",1,0,1,1
"indSO26.5",1,0,0,0
"indSO27.5",0,1,1,0
"indSO28.5",0,1,0,1
"indSO29.5",0,1,0,1
"indSO30.5",0,0,1,0
"indSO31.5",0,0,0,1
"indSO1.4",1,1,0,1
"indSO2.4",1,0,1,1
"indSO3.4",1,0,1,0
"indSO4.4",0,1,1,1
"indSO5.4",0,0,0,1
"indSO6.4",0,1,0,1
"indSO7.4",1,1,1,0
"indSO8.4",1,0,1,1
"indSO9.4",1,0,0,0
"indSO10.4",0,1,0,1
"indSO11.4",0,1,0,0
"indSO12.4",0,1,0,0
"indSO13.4",0,0,1,1
